'19','Amboise','9 mail Saint- Thomas','amb-info@eurocentres.com','33247231060','Amboise','France','1'
'21','Berlín','Bernburger Str. 30-31','ver-info@eurocentres.com','4903026394999','Berlin','Germany','1'
'','Boston - NESE','36 John F. Kennedy St','','-6178647170','Cambridge','USA','1'
'5','Bournemouth','26 Dean Park Road','bth-info@eurocentres.com','441202554426','Bournemouth','United Kingdom','1'
'4','Brighton','20 North Street','bri-info@eurocentres.com','441273324545','Brighton','United Kingdom','1'
'14','Cairns','91-97 Mulgrave Road','cns-info@eurocentres.com','61740548691','Cairns','Canada','1'
'3','Cambridge','57 Bateman Street','cam-info@eurocentres.com','441223353607','Cambridge','United Kingdom','1'
'15','Ciudad del Cabo','50-on-Long/ 50 Long St. 1st Floor','cap-info@eurocentres.com','27214231833','Cape Town','Australia','1'
'6','Dublin','4 North Great George's St','admin@alphacollege.com','35318747024','Dublin','United Kingdom','1'
'9','East Lansing','English Language Center Michigan State University','elc@msu.edu','15173530800','East Lansing','United States','1'
'22','Florencia','Palazzo Guadagni ','fir-info@eurocentres.com','39055213030','Florencia','Italy','1'
'23','Kanazawa','1-5-3 Hon-machi','kan-info@eurocentres.com','81762601543','Kanazawa','Japan','1'
'18','La Rochelle','Avenue Michel Crépeau','lar-info@eurocentres.com','33546505733','La Rochelle','France','1'
'20','Lausana','Rue de Genevé 35','lsn-info@eurocentres.com','41213187130','Lausana','Switzerland','1'
'1','Londres Central','56 Eccleston Square','vic-info@eurocentres.com','442078344155','Londres Central','United Kingdom','1'
'27','Londres Eltham','','','','','United Kingdom','1'
'2','Londres Lee Green','21 Meadowcourt Road','lee-info@eurocentres.com','442083185633','Londres Lee Green','United Kingdom','1'
'13','Melbourne','','','','','Canada','1'
'25','Moscú','Liden & Denz Language Centre Moscow','moscow@lidenz.ru','74952544991','Moscú','Russia','1'
'8','Nueva York','American Language Program Room 504','alp@columbia.edu','12128543584','Nueva York','United States','1'
'17','París','13 passage Dauphine','par-info@eurocentres.com','330140467200','Paris','France','1'
'24','Pekin','Ping An Fu Hotel','bei-info@eurocentres.com','8613520103215','Pekin','China','1'
'7','San Diego','','','','','United States','1'
'26','San Petersburgo','Liden & Denz Language Centre St. Petersburg','bookings@lidenz.ru','78123340788','San Petersburgo','Russia','1'
'16','Sliema','12 Taliana Lane','','35625588500','Sliema','South Africa','1'
'12','Sydney','128 Chalmers Street','syd_info@eurocentres.com','61296994588','Sydney','Canada','1'
'10','Toronto','#220-111 Peter Street','tor-info@eurocentres.com','14165421626','Toronto','Ireland','1'
'11','Vancouver','#250-815 West Hastings Street','van-info@eurocentres.com','16046887942','Vancouver','Ireland','1'
