'Atlanta','1100 South Marietta Parkway','','-6789154960','Marietta','USA','2'
'Berkeley','2425 Prospect Street','','-5108450201','Berkeley','USA','2'
'Boston Downtown','125 Tremont Street','','-6175744820','Boston','USA','2'
'Boston-Newton','777 Dedham Street','','6172444448','Newton','USA','2'
'Bristol','1 Old Ferry Road','','-4012545300','Bristol','USA','2'
'Charlotte','5200 Park Road','','-7045274172','Charlotte','USA','2'
'Chicago','7200 West Division Street','','-7084885010','River Forest','USA','2'
'Chicago-Romeoville','1 University Parkway','','','Romeoville','USA','2'
'Cincinnati','60 West Charlton Street','','-5135564034','Cincinnati','USA','2'
'Clemson Greenville','225 South Pleasantburg Drive','','-8642335993','Greenville','USA','2'
'Cleveland','11321 Juniper Rd','','-2163682716','Cleveland','USA','2'
'Columbus','1216 Sunbury Rd','','6142517360','Columbus','USA','2'
'Dallas','800 West Campbell Road','','9722344611','Richardson','USA','2'
'DeKalb','385 Wirtz Drive','','8157534600','DeKalb','USA','2'
'Denver','3645 West 112th Ave','','-3034045717','Westminster','USA','2'
'Fort Wayne','2101 E Coliseum Blvd','','2604810357','Fort Wayne','USA','2'
'Fredericksburg','1125 Jefferson Davis','','5403712039','Fredericksburg','USA','2'
'Garden City','1 South Avenue','','-5168773910','Garden City','USA','2'
'Grand Forks','221 Centennial Dr.','','-7017776785','Grand Forks','USA','2'
'Grand Rapids','1150 Au Sable Hall','','-6163319222','Allendale','USA','2'
'Honolulu','1188 Fort Street','hnl@els.edu','-8085438075','Honolulu','USA','2'
'Houston','4200 Montrose Blvd','','-7135212030','Houston','USA','2'
'Houston-Clear Lake','2700 Bay Area Blvd','','2812833034','Houston','USA','2'
'Indianapolis','151 West Ohio Street','','-3172742371','Indianapolis','USA','2'
'Johnson City','503 South Dossett Drive','','-4234397147','Johnson City','USA','2'
'La Verne','1886 Third Street','','-9095935555','La Verne','USA','2'
'Lubbock','1921 Broadway Street','','8067475340','Lubbock','USA','2'
'Manhattan','75 Varick Street','','-2124319330','New York','USA','2'
'Melbourne','150 West University Boulevard','','-3217273990','Melbourne','USA','2'
'Miami','11300 NE Second Avenue','','-3058993390','Miami Shores','USA','2'
'Milwaukee','1834 W Wisconsin Ave','','4143449325','Milwaukee','USA','2'
'Nashville','820 Fairview Avenue','','-6158982980','Murfreesboro','USA','2'
'New Haven ','1211 Campbell Avenue,','','-2039312970','West Haven','USA','2'
'Oklahoma City','1915 N.W. 24th Street','','-4055253738','Oklahoma City','USA','2'
'Orlando','800 Celebration Avenue','','-3219392444','Celebration','USA','2'
'Philadelphia','5414 Overbrook Avenue','','-2154734430','Philadelphia','USA','2'
'Pittsburgh','201 Wood Street Lawrence Hall, Room 804','','-4123923802','Pittsburgh','USA','2'
'Portland','2811 NE Holman St.','','-5032808552','Portland','USA','2'
'Riverdale','6301 Riverdale Ave.','','-7187966325','Riverdale','USA','2'
'Rochester','350 New Campus Drive','','5853957500','Brockport','USA','2'
'Ruston','305 Wisteria St.','','-3182572012','Ruston','USA','2'
'San Antonio','4301 Broadway','','-2102835077','San Antonio','USA','2'
'San Diego','110 West C Street','','-6195570136','San Diego','USA','2'
'San Francisco-Dowtown ','300 Montgomery Street, Suite 200','','-4157965356','San Francisco','USA','2'
'San Francisco-North Bay ','190 Palm Avenue','','-4154853224','San Rafael','USA','2'
'Santa Barbara','104 West Anapamu, Suite I','','-8059660172','Santa Barbara','USA','2'
'Santa Cruz','','','','','USA','2'
'Santa Monica','1413 Second Street','','-3104514544','Santa Monica','USA','2'
'Seattle','400 East Pine Street','','-2066231481','Seattle','USA','2'
'Silicon Valley ','21269 Stevens Creek Blvd','','4088651164','Cupertino','USA','2'
'St. Louis','1 University Dr','','-3145164621','St. Louis','USA','2'
'St. Paul','2115 Summit Avenue','','-6519625990','St. Paul','USA','2'
'St. Petersburg','4200 54th Avenue South','','-7278647820','St. Petersburg','USA','2'
'Tacoma','1101 South Yakima Ave','','2536807284','Tacoma','USA','2'
'Tampa','701 W Kennedy Blvd','','8132576328','Tampa','USA','2'
'Teaneck','1000 River Road, Robison Hall','','-2019070004','Teaneck','USA','2'
'Thousand Oaks','203 Faculty Street','','-8054933760','Thousand Oaks','USA','2'
'VancouverVancouverVancouver','','','','','','2'
'Washington','4000 Chesapeake St NW','','-2022430138','Washington','USA','2'
